,Type,Caliber,Role,Origin,Inventory,Notes
34,International MaxxPro,,Mine resistant ambush protected vehicle,United States,"2,934[34]",
35,M-ATV,,Mine resistant ambush protected vehicle,United States,"5,651[52][34]",
36,Buffalo,,Mine resistant ambush protected vehicle,United States,650,As of 2021.[53]
37,Cougar,,Mine resistant ambush protected vehicle,United States,,As of 2023.[54]
38,RG-31,,Mine resistant ambush protected vehicle,South Africa,516 operated by the Army as of 2015.[55],"1,679 under MRAP procurement and 570 ONS Army; at least 894 Mk5E are required for conversion into MMPV Type II by the Army[55] Still used as of 2024.[56]"
39,RG-33,,Mine resistant ambush protected vehicle,South Africa,"2,386 (all services)[55]",712 will be retained by the Army as MMPV Type 1.[55]
40,Light vehicles,Light vehicles,Light vehicles,Light vehicles,Light vehicles,Light vehicles
41,High Mobility Multipurpose Wheeled Vehicle,,Light utility vehicle,United States,"~125,000",Around 40% of those remaining in service are armored; the armored HMMWVs in service are to be replaced by the JLTV.
42,Joint Light Tactical Vehicle,,Light utility vehicle,United States,"12,500 estimated[34]","Will partially replace the Humvee. Oshkosh Defense was awarded the JLTV contract in 2015 for up to 16,901 JLTVs. The procurement objective is 49,099 for the U.S. Army[57]"
43,M1288 GMV 1.1,,Light utility vehicle,United States,,Replaces the Humvee-based Ground Mobility Vehicle in USSOCOM
44,M1297 Army Ground Mobility Vehicle,,Light utility vehicle,United States,,
45,M1301 Infantry Squad Vehicle,,Light utility vehicle,United States,649 (procurement objective),Based on Chevrolet Colorado ZR2 platform. Designed to provide greater mobility to Infantry Brigade Combat Teams.[58]
46,Ranger Special Operations Vehicle,,Light utility vehicle,United Kingdom,60 (delivered),
47,Logistics Vehicles,Logistics Vehicles,Logistics Vehicles,Logistics Vehicles,Logistics Vehicles,Logistics Vehicles
48,Family of Medium Tactical Vehicles,,Military truck,United States,"108,800 (Active in all services)","Oshkosh Defense – >23,400 trucks/>11,400 trailers (current manufacturer). 74,000 trucks and trailers by legacy manufacturers. Figures include the National Guard and Air Force.[59]"
49,Heavy Expanded Mobility Tactical Truck,,Military truck,United States,">27,000 (new build and remanufactured)[60]",Figures include National Guard and Air Force
50,M1070 Heavy Equipment Transporter,,Military truck,United States,"4,079 (delivered; not all remain in service)[61]","2,488 M1070A0 tractors and >2,600 M1000 trailers delivered of which at least 1,009 tractors and >1000 trailers have been Reset. 1,591 M1070A1 delivered. Figures include the National Guard and Air Force."
51,M939 series 5-ton 6×6 truck,,Military truck,United States,"25,000[59]",Intention is to replace with the Oshkosh FMTV. Figures include the National Guard and Air Force.
52,Palletized Load System,,Military truck,United States,,
53,Small Unit Support Vehicle,,All-terrain vehicle,Sweden UK,,Entered service in 2022. 110 to be procured.[62]
54,Cold Weather All-Terrain Vehicles,,All-terrain vehicle,Sweden,,
55,Engineering Vehicles,Engineering Vehicles,Engineering Vehicles,Engineering Vehicles,Engineering Vehicles,Engineering Vehicles
56,M88 Hercules,,Armored recovery vehicle,United States,"933 M88A2 and 360 M88A1 active[34] 1,000 M88A1 in storage[34]",
57,M9 Armored Combat Earthmover,,Combat engineering vehicle,United States,250[34],
58,D9,,Armored bulldozer,United States /  Israel,,
59,M60 Armoured Vehicle Launched Bridge,,Armored vehicle-launched bridge,United States,230 estimated[34],
60,M104 Wolverine,,Armored vehicle-launched bridge,United States,40[34],
61,M1074 Joint Assault Bridge System,,Armored vehicle-launched bridge,United States,104[34],
62,M1150 Assault Breacher Vehicle,,Mine-clearing vehicle,United States,149[34],
63,Aardvark JSFU,,Mine-clearing vehicle,United Kingdom,3+[34],
64,Husky VMMD,,Mine-clearing vehicle,South Africa,Unknown[34],
65,Hydrema MCV 910,,Mine-clearing vehicle,Denmark,3+[34],
66,M58 Mine Clearing Line Charge,,Mine-clearing vehicle,United States,Unknown[34],
