name,equipment_id,equipment_category,specialty,price_usd,manufacturer,manufacturer_id,stock,description
"E-11A",24,Aircraft,"Command and control / BACN",74756081,"Northrop Grumman",45,63,"Battlefield Airborne Communications Node, providing communications relay and information gateway services across the battlespace."
"EA-37B Compass Call",25,Aircraft,"Radar jamming / PSYOP",101573855,"Gulfstream",32,10,"Electronic attack aircraft designed to disrupt enemy command and control communications and limit adversary coordination."
"EC-130H Compass Call",26,Aircraft,"Radar jamming / PSYOP",79905496,"Lockheed Martin",38,45,"Electronic warfare and aerial battlefield communications jamming aircraft based on the C-130 Hercules."
"EC-130J & Super-J",27,Aircraft,"Radar jamming / PSYOP",177816877,"Lockheed Martin",38,98,"Advanced electronic warfare variants of the C-130J platform with enhanced electronic attack capabilities."
"F-117 Nighthawk",28,Aircraft,"Aggressor aircraft/research and development",182416985,"Lockheed Martin",38,2,"First operational stealth aircraft, now used in limited capacity for aggressor training and developmental testing despite official retirement."
"F-15C/D Eagle",29,Aircraft,"Air superiority",46272580,"McDonnell Douglas",40,46,"Twin-engine, all-weather tactical fighter designed for air superiority, known for its exceptional maneuverability and acceleration."
"F-15E Strike Eagle",30,Aircraft,"Multirole, primarily strike",79443534,"McDonnell Douglas & Boeing",41,96,"Dual-role fighter capable of engaging both ground and air targets, featuring advanced avionics and the capability to deploy a wide range of weapons."
"F-15EX Eagle II",31,Aircraft,"Multirole, primarily strike",80677524,"McDonnell Douglas & Boeing",41,46,"Modern variant of the F-15 with advanced avionics, increased weapons capacity, and improved performance, designed to replace aging F-15C/D fleet."
"F-16C/D Fighting Falcon",32,Aircraft,"Multirole",194770162,"General Dynamics",31,55,"Compact, multi-role fighter aircraft known for its agility and versatility in both air-to-air and air-to-ground missions."
"F-22A Raptor",33,Aircraft,"Air superiority",54762847,"Lockheed Martin",38,78,"Fifth-generation stealth tactical fighter with supercruise capability, thrust vectoring, and advanced avionics for air superiority missions."
"F-35A Lightning II",34,Aircraft,"Multirole",65508794,"Lockheed Martin",38,53,"Fifth-generation stealth multirole fighter with advanced sensors and networking capabilities for air superiority and strike missions."
"HC-130J Combat King II",35,Aircraft,"Search and rescue",111952092,"Lockheed Martin",38,69,"Extended-range search and rescue variant of the C-130J, equipped for personnel recovery missions in hostile environments."
"HH-60G/U Pave Hawk",36,Aircraft,"CSAR",155115048,"Sikorsky",54,97,"Modified version of the UH-60 Black Hawk helicopter used for combat search and rescue missions in hostile environments."
"HH-60W Jolly Green II",37,Aircraft,"CSAR",111857076,"Sikorsky",54,34,"Next-generation combat rescue helicopter replacing the HH-60G Pave Hawk, with increased range, survivability, and mission capability."
"KC-135R/T Stratotanker",38,Aircraft,"Aerial refueling",21425650,"Boeing",13,71,"Aerial refueling tanker aircraft derived from the Boeing 707, capable of providing in-flight refueling to military aircraft globally."
"KC-46A Pegasus",39,Aircraft,"Aerial refueling",152238470,"Boeing",13,2,"Multirole tanker transport aircraft based on the Boeing 767, providing aerial refueling and cargo transport capabilities."
"LC-130H Hercules",40,Aircraft,"Cargo aircraft",178827314,"Lockheed Martin",38,58,"Ski-equipped variant of the C-130 designed for Arctic and Antarctic operations, capable of landing on snow and ice."
"MC-12W Liberty",41,Aircraft,"Multi-mission/Special Operations",136945546,"Beechcraft",9,37,"Intelligence, surveillance, and reconnaissance aircraft used to support ground forces with real-time intelligence gathering."
"MC-130J Commando II",42,Aircraft,"Multi-mission/Special Operations",43503621,"Lockheed Martin",38,96,"Special operations variant of the C-130J designed for clandestine infiltration, exfiltration, and resupply of special operations forces."
"MH-139A Grey Wolf",43,Aircraft,"Utility",121405222,"AgustaWestland",4,97,"Military version of the AgustaWestland AW139 helicopter, replacing the UH-1N Huey for security and transport missions around missile bases."
"MQ-1B Predator",44,Aircraft,"Multi-mission",15999062,"General Atomics",30,88,"Medium-altitude, long-endurance unmanned aerial vehicle used for intelligence gathering and armed reconnaissance."
"MQ-9A Reaper",45,Aircraft,"Multi-mission",174369942,"General Atomics",30,41,"Larger, more capable successor to the MQ-1 Predator, designed for persistent surveillance and precision strike capabilities."
"BQM-167 Skeeter",46,Aircraft,"Target drone",44153785,"Composite Engineering",21,22,"Recoverable aerial target drone used to simulate enemy aircraft for weapons testing and combat training."
"P-9A Pale Ale",47,Aircraft,"Maritime patrol",198977540,"Bombardier",16,22,"Maritime patrol aircraft used for counter-narcotics surveillance operations, operated by contractors under government ownership."
"QF-16A/C",48,Aircraft,"Target drone",114198270,"Boeing",13,77,"Retired F-16 fighters converted to remote-controlled target drones for weapons testing and combat training."
"RC-135S/U/V/W Cobra Ball/Combat Sent/Rivet Joint",49,Aircraft,"Reconnaissance / ELINT / surveillance",133322387,"Boeing",13,96,"Family of reconnaissance aircraft used for intelligence collection, signals intelligence, and electronic surveillance."
"RQ-170 Sentinel",50,Aircraft,"Multi-Mission",138811946,"Lockheed Martin",38,23,"Unmanned aerial vehicle designed for stealth reconnaissance missions in contested airspace."
"RQ-20 Puma",51,Aircraft,"Patrol",169845894,"AeroVironment",3,76,"Small, hand-launched unmanned aerial vehicle used for intelligence, surveillance, and reconnaissance in confined areas."
"RQ-4B Global Hawk",52,Aircraft,"ISTAR",191924782,"Northrop Grumman",45,47,"High-altitude, long-endurance unmanned aerial vehicle designed for near-real-time intelligence, surveillance, and reconnaissance."
"Unmanned Long-endurance Tactical Reconnaissance Aircraft",53,Aircraft,"Surveillance",88219343,"DZYNE Technologies",23,5,"Advanced unmanned aerial platform designed for extended surveillance operations."
"T-1A Jayhawk",54,Aircraft,"Trainer",41132677,"Raytheon",50,32,"Twin-engine jet trainer used for advanced pilot training, particularly for students selected for airlift or tanker aircraft."
"T-38A/C/AT-38B Talon",55,Aircraft,"Trainer",12865417,"Northrop Grumman",45,92,"Twin-engine supersonic jet trainer used for advanced pilot training and preparation for fighter aircraft."
"T-41D Mescalero",56,Aircraft,"Basic trainer",152762203,"Cessna",19,33,"Single-engine piston aircraft used for primary flight training and screening of potential pilot candidates."
"T-51A Cessna",57,Aircraft,"Basic trainer",181993593,"Cessna",19,33,"Basic flight training aircraft used for introductory pilot instruction and proficiency training."
"T-53A Kadet II",58,Aircraft,"Basic trainer",28345346,"Cirrus",20,55,"Light single-engine aircraft used for basic flight training at the U.S. Air Force Academy."
"T-6A Texan II",59,Aircraft,"Trainer",111876326,"Raytheon & Beechcraft",51,54,"Single-engine turboprop aircraft used for primary pilot training for Air Force and Navy pilots."
"T-7 Red Hawk",60,Aircraft,"Trainer",183863733,"Boeing & Saab",14,81,"Advanced jet trainer aircraft designed to replace the T-38 Talon for fighter and bomber pilot training."
"TC-135S/W",61,Aircraft,"Trainer",104267568,"Boeing",13,37,"Training variant of the KC-135 used to train tanker crews in aerial refueling operations."
"TH-1H Iroquois",66,Aircraft,"Trainer",10232186,"Bell",10,61,"Helicopter training variant of the UH-1 Huey used for basic and advanced helicopter pilot training."
"TU-2S Dragon Lady",67,Aircraft,"Conversion trainer",190465424,"Lockheed Martin",38,97,"Two-seat training variant of the U-2 reconnaissance aircraft used to train new U-2 pilots."
"U-2S Dragon Lady",68,Aircraft,"Reconnaissance",149322547,"Lockheed Martin",38,29,"High-altitude reconnaissance aircraft designed for intelligence gathering at extreme altitudes."
"U-28A Draco/PC-12",69,Aircraft,"Utility",163639699,"Pilatus",47,88,"Light, fixed-wing utility and intelligence aircraft used by special operations forces for transport and reconnaissance."
"UH-1N Twin Huey/UH-1N Operational Support Airlift",70,Aircraft,"Utility",146995649,"Bell",10,43,"Twin-engine utility helicopter used for VIP transport, security operations, and other support missions."
"UV-18B Twin Otter",71,Aircraft,"Utility",179496088,"De Havilland Canada",24,7,"Light transport aircraft used for parachute training at the U.S. Air Force Academy."
"VC-25A Air Force One",72,Aircraft,"VIP transport",180097754,"Boeing",13,45,"Highly modified Boeing 747-200B used as the primary presidential aircraft, featuring advanced communications and security systems."
"WC-130J Hercules",73,Aircraft,"Weather reconnaissance",174562469,"Lockheed Martin",38,91,"Weather reconnaissance aircraft, commonly known as Hurricane Hunters, used to fly into tropical storms and hurricanes to gather meteorological data."
"WC-135R Constant Phoenix",74,Aircraft,"Atmospheric research",74757939,"Boeing",13,46,"Aircraft equipped with specialized sensors to detect and identify nuclear fallout and radiation in the atmosphere."
"X-62 VISTA",75,Aircraft,"In-flight simulator",199630352,"General Dynamics",31,63,"Experimental aircraft used as a variable stability in-flight simulator for developing advanced flight control systems and pilot training."
"CL-650",76,Aircraft,"Intelligence, Surveillance and Reconnaissance",100987586,"Bombardier",16,96,"Surveillance aircraft equipped with advanced sensors for intelligence, surveillance, and reconnaissance missions in contested environments."
"C-12J",77,Aircraft,"Transport",174508321,"Beechcraft",9,88,"Advanced variant of the C-12 Huron with upgraded engines and avionics for improved performance in utility transport roles."
"C-12D/R/U/V Huron",78,Aircraft,"Cargo/Transport",66264062,"Beechcraft",9,21,"Family of military utility aircraft based on the Beechcraft King Air, used for personnel transport, cargo, and reconnaissance missions."
"C-20H",79,Aircraft,"VIP Transport",30944717,"Gulfstream",32,39,"Military variant of the Gulfstream IV business jet used for VIP and executive transport of high-ranking officials."
"C-26E Metroliner",80,Aircraft,"Cargo/Transport",188842906,"Fairchild",27,79,"Military version of the Fairchild Metroliner, used for light transport, cargo, and utility missions."
"C-27J Spartan",81,Aircraft,"Cargo aircraft",190104609,"Alenia Aeronautica",7,91,"Medium-sized tactical transport aircraft capable of operating from austere airfields, used for troop and cargo transport."
"C-41 Aviocar",82,Aircraft,"Cargo/Transport",41098242,"CASA",17,26,"Light transport aircraft used for short-haul utility transport and cargo missions in remote locations."
"EO-5",83,Aircraft,"Electronic Warfare, Reconnaissance",100445813,"De Havilland Canada",24,44,"Electronic warfare and reconnaissance platform equipped with signals intelligence collection systems."
"MC/RC-12",84,Aircraft,"Reconnaissance",51426436,"Beechcraft",9,15,"Special mission variants of the C-12 Huron equipped for intelligence, surveillance, and reconnaissance missions."
"UC-35",85,Aircraft,"Utility aircraft",120722290,"Cessna",19,86,"Military version of the Cessna Citation business jet used for operational support airlift and priority personnel transport."
"C-37",86,Aircraft,"VIP Transport",162031170,"Gulfstream",32,63,"Military designation for Gulfstream business jets  used for VIP and executive transport."
"RO-6A",87,Aircraft,"Patrol",188217301,"De Havilland Canada",24,93,"Reconnaissance aircraft equipped with specialized sensors for intelligence collection and surveillance missions."
"UV-18C",88,Aircraft,"Cargo/Transport",143057621,"De Havilland Canada",24,4,"Updated variant of the Twin Otter aircraft used by the Army Golden Knights parachute demonstration team."
"AH/MH-6M Little Bird",89,Aircraft,"Attack",131449087,"McDonnell Douglas",40,85,"Light, highly maneuverable helicopter used by special operations forces for attack and transport missions."
"AH-64D/E Apache Longbow, Guardian",90,Aircraft,"Attack",103640622,"Boeing",13,16,"Advanced attack helicopter with all-weather capabilities, featuring sophisticated target acquisition and weapon systems."
"CH-47D/F Chinook",91,Aircraft,"Transport",179186749,"Boeing",13,18,"Heavy-lift, tandem rotor helicopter used for troop movement, artillery placement, and battlefield resupply missions."
"EH-60A Black Hawk",92,Aircraft,"Electronic-warfare",186941998,"Sikorsky",54,67,"Electronic warfare variant of the UH-60 Black Hawk helicopter equipped for signals intelligence and electronic countermeasures."
"MH-47 Chinook",93,Aircraft,"Multi-mission",139888508,"Boeing",13,29,"Special operations variant of the CH-47 Chinook with enhanced performance, avionics, and self-defense systems."
"MH-60 Black Hawk",94,Aircraft,"Multi-mission",125592860,"Sikorsky",54,89,"Special operations variant of the UH-60 Black Hawk helicopter designed for clandestine infiltration and exfiltration missions."
"Mil Mi-8/Mi-17",95,Aircraft,"Unknown",157951680,"Mil Moscow Helicopter Plant",43,5,"Russian-designed medium twin-turbine transport helicopter used for training and familiarization with foreign equipment."
"Mil Mi-24",96,Aircraft,"Unknown",188915173,"Mil Moscow Helicopter Plant",43,4,"Russian-designed attack helicopter used for training and familiarization with potential adversary equipment."
"UH-60 Black Hawk",98,Aircraft,"Utility",63618681,"Sikorsky",54,31,"Utility tactical transport helicopter used for air assault, medical evacuation, and general support operations."
"UH-72A/B Lakota",99,Aircraft,"Utility",50858918,"Airbus Eurocopter",6,87,"Light utility helicopter used for medical evacuation, personnel transport, and border security missions."
"MQ-1C Gray Eagle",100,Aircraft,"Unknown",160348674,"General Atomics",30,31,"Medium-altitude, long-endurance unmanned aircraft system designed for reconnaissance, surveillance, and target acquisition."
"Prioria Robotics Maveric",101,Aircraft,"Unknown",163680012,"Prioria Robotics",49,47,"Small, portable unmanned aerial vehicle used for short-range reconnaissance and surveillance missions."
"CQ-10 Snowgoose",102,Aircraft,"Transport",104146942,"MMIST",39,86,"Unmanned parafoil or autogyro system designed for precise delivery of cargo to special operations forces."
"RQ-11 Raven",103,Aircraft,"Unknown",193257247,"AeroVironment",3,86,"Small hand-launched unmanned aerial vehicle used for low-altitude surveillance and reconnaissance over short ranges."
"Black Hornet Nano",104,Aircraft,"Surveillance",104702934,"FLIR",26,53,"No description available"
"HC-27J Spartan",105,Aircraft,"Search and rescue",32633384,"Alenia Aeronautica",7,25,"Ultra-compact micro unmanned aerial vehicle designed for close-range reconnaissance and situational awareness."
"C-37A",106,Aircraft,"VIP transport",155919086,"Gulfstream",32,87,"Medium-range surveillance aircraft adapted for maritime patrol and search and rescue operations."
"C-37B",107,Aircraft,"VIP transport",38908594,"Gulfstream",32,57,"Military version of the Gulfstream V business jet used for VIP and executive transport within the Department of Homeland Security."
"HC-130H Hercules",108,Aircraft,"Search and rescue",34927827,"Lockheed Martin",38,84,"Updated version of the C-37A based on the Gulfstream 550 with enhanced range and capabilities for VIP transport."
"HC-130J Hercules",109,Aircraft,"Search and rescue",41398445,"Lockheed Martin",38,32,"Long-range search and rescue variant of the C-130 Hercules with extended endurance and specialized equipment."
"HC-144A Ocean Sentry",110,Aircraft,"Search and rescue",62372750,"Airbus",5,27,"Modernized search and rescue variant of the C-130J with enhanced performance and mission systems."
"HC-144B Minotaur",111,Aircraft,"Search and rescue",65361594,"Airbus",5,37,"Medium-range surveillance aircraft used for maritime patrol, drug interdiction, and search and rescue operations."
"MH-60T Jayhawk",112,Aircraft,"Medium Range Recovery",94863433,"Sikorsky",54,28,"Upgraded version of the HC-144A with enhanced maritime domain awareness capabilities and integrated mission systems."
"MH-65D Dolphin",113,Aircraft,"Short Range Recovery",70556035,"Airbus Eurocopter",6,93,"Medium-range recovery helicopter used for search and rescue, law enforcement, and homeland security missions."
"MH-65E Dolphin",114,Aircraft,"Short Range Recovery",162300566,"Airbus Eurocopter",6,9,"Short-range recovery helicopter used for search and rescue, law enforcement, and port security missions."
"C-20G",115,Aircraft,"Cargo/Transport aircraft",144046512,"Gulfstream",32,32,"Modernized version of the MH-65D with glass cockpit and advanced mission systems for extended service life."
"C-40A Clipper",116,Aircraft,"Cargo/Transport aircraft",145255434,"Boeing",13,39,"Specialized variant of the Gulfstream IV with increased cargo capacity and range for utility transport missions."
"F/A-18A/B/C/D Hornet",117,Aircraft,"Carrier-based Fighter",159634162,"McDonnell Douglas",40,20,"Military version of the Boeing 737-700C used for passenger and cargo transport with convertible cabin configuration."
"F-35B/C Lightning II",118,Aircraft,"Carrier-based Fighter",32460668,"Lockheed Martin",38,74,"Carrier-capable multirole fighter aircraft designed for air superiority and attack missions from aircraft carriers."
"F-5F/N Tiger II",119,Aircraft,"Aggressor",195391664,"Northrop Grumman",45,75,"Fifth-generation stealth multirole fighter with short takeoff/vertical landing  or carrier-based  capabilities."
"KC-130J Super Hercules",120,Aircraft,"Aerial refueling",78056840,"Lockheed Martin",38,96,"Lightweight supersonic fighter used as an adversary aircraft for combat training and aggressor squadron missions."
"UC-12W Huron",121,Aircraft,"Utility",58124363,"Beechcraft",9,43,"Aerial refueling tanker and tactical transport aircraft capable of refueling helicopters and fixed-wing aircraft."
"UC-12M Huron",122,Aircraft,"Utility",94043061,"Beechcraft",9,31,"Updated variant of the C-12 with glass cockpit avionics and enhanced performance for utility transport missions."
"UC-12F Huron",123,Aircraft,"Utility",199560429,"Beechcraft",9,61,"Maritime patrol and utility transport variant of the C-12 with specialized mission equipment."
"UC-35D Citation",124,Aircraft,"Utility",128307723,"Cessna",19,18,"Older variant of the C-12 utility transport aircraft with analog cockpit systems."
"AH-1Z Viper",125,Aircraft,"Attack",149206930,"Bell",10,12,"Military version of the Cessna Citation business jet used for priority personnel transport and utility missions."
"CH-53E Super Stallion",126,Aircraft,"Cargo/Transport",45033249,"Sikorsky",54,29,"Advanced attack helicopter with four-blade main rotor, enhanced sensors, and weapons systems for close air support."
"CH-53K King Stallion",127,Aircraft,"Cargo/Transport",194700591,"Sikorsky",54,72,"Heavy-lift helicopter used for transport of heavy equipment, vehicles, and troops in amphibious assault operations."
"UH-1Y Venom",128,Aircraft,"Utility",94528820,"Bell",10,45,"Next-generation heavy-lift helicopter with significantly enhanced lift capacity, range, and digital avionics."
"VH-3D Sea King",129,Aircraft,"Marine One VIP Transport",97456281,"Sikorsky",54,72,"Modernized variant of the UH-1 Huey utility helicopter with four-blade main rotor and enhanced performance."
"VH-60N Whitehawk",130,Aircraft,"Marine One VIP Transport",60145169,"Sikorsky",54,62,"Presidential transport helicopter used as Marine One for the transport of the President of the United States."
"VH-92 Patriot",131,Aircraft,"Marine One VIP Transport",185012654,"Sikorsky",54,64,"Executive transport variant of the UH-60 Black Hawk used as part of the Marine One fleet."
"AV-8B/+ Harrier II",132,Aircraft,"Attack/Trainer",191260776,"McDonnell Douglas",40,99,"Next-generation presidential helicopter based on the Sikorsky S-92, replacing the VH-3D and VH-60N fleet."
"MV-22B Osprey",133,Aircraft,"Multi-mission",78509769,"Bell Boeing",12,10,"Vertical/short takeoff and landing  attack aircraft designed for close air support and strike missions."
"K-MAX",134,Aircraft,"Cargo and transport",10369277,"Kaman",35,44,"Marine Corps variant of the V-22 tiltrotor used for amphibious assault, raid operations, and cargo transport."
"MQ-27",135,Aircraft,"Reconnaissance",58368804,"Boeing",13,31,"Unmanned helicopter with intermeshing rotors designed for external cargo lift operations, particularly in hazardous environments."
"RQ-21A Blackjack",137,Aircraft,"Reconnaissance",38262700,"Boeing Insitu",15,50,"Small hand-launched unmanned aerial vehicle used for intelligence, surveillance, and reconnaissance at the tactical level."
"MQ-8B Fire Scout",138,Aircraft,"Multi-Mission",97449836,"Northrop Grumman",45,46,"Small tactical unmanned aircraft system providing intelligence, surveillance, and reconnaissance support to marine expeditionary forces."
"MQ-9 Reaper",140,Aircraft,"Reconnaissance",76163804,"General Atomics",30,79,"Pocket-sized micro unmanned aerial vehicle providing immediate situational awareness and reconnaissance capabilities."
"R80D SkyRaider",141,Aircraft,"Reconnaissance",42358117,"FLIR",26,90,"Medium-altitude, long-endurance unmanned aerial vehicle equipped for persistent surveillance and precision strike missions."
"X2D",142,Aircraft,"Reconnaissance",69749405,"Skydio",55,1,"Tactical unmanned quadcopter designed for surveillance, reconnaissance, and situation awareness in battlefield environments."
"C-130T Hercules",144,Aircraft,"Cargo/Transport aircraft",176500596,"Lockheed Martin",38,85,"Single-engine turboprop training aircraft used for primary and intermediate flight training."
"C-130J Hercules",145,Aircraft,"Cargo/Transport aircraft",184387348,"Lockheed Martin",38,17,"Tactical airlift variant of the C-130 Hercules used for troop, cargo, and equipment transport."
"UC-12 Huron",146,Aircraft,"Cargo/Transport aircraft",22770155,"Beechcraft",9,16,"Modern variant of the C-130 transport aircraft with improved performance, digital avionics, and increased cargo capacity."
"C-2A Greyhound",147,Aircraft,"Carrier-based Cargo/Transport aircraft",172396419,"Northrop Grumman",45,88,"Military utility transport version of the Beechcraft King Air, used for passenger and light cargo transport."
"C-20",148,Aircraft,"Cargo/Transport aircraft",173609735,"Gulfstream",32,22,"Carrier onboard delivery aircraft designed for logistics support to aircraft carriers, transporting personnel, mail, and cargo."
"C-26D Metroliner",149,Aircraft,"Cargo/Transport aircraft",32997997,"Fairchild",27,73,"Military designation for Gulfstream business jets used for executive transport and special missions."
"E-2C/D Hawkeye",152,Aircraft,"Carrier-based Airborne Command and Control aircraft",71953957,"Northrop Grumman",45,1,"Navy version of the Boeing 737-700C used for fleet logistics support and passenger/cargo transport."
"E-6B Mercury",153,Aircraft,"TACAMO",67468812,"Boeing",13,33,"Carrier-based airborne early warning aircraft providing battle management, air and surface surveillance, and command and control."
"EA-18G Growler",154,Aircraft,"Carrier-based Electronic-warfare aircraft",57457694,"Boeing",13,100,"Airborne command post and communications relay aircraft providing command and control of U.S. nuclear forces."
"EP-3E ARIES II",155,Aircraft,"Electronic-warfare aircraft",48974026,"Lockheed Martin",38,84,"Electronic warfare variant of the F/A-18F Super Hornet designed to jam enemy radar and communications systems."
"F-16 Fighting Falcon",157,Aircraft,"Aggressor",165384104,"General Dynamics",31,72,"Lightweight tactical fighter used as adversary aircraft for Navy and Marine Corps combat air training."
"F/A-18E/F Super Hornet",159,Aircraft,"Carrier-based Fighter",194194213,"McDonnell Douglas, Northrop Grumman & Boeing",42,21,"Earlier generation of carrier-based multirole fighter aircraft used for training and fleet support."
"F-35C Lightning II",160,Aircraft,"Carrier-based Fighter aircraft",69429976,"Lockheed Martin",38,59,"Enlarged, more capable evolution of the F/A-18 Hornet, serving as the Navys primary strike fighter."
"KC-130T",161,Aircraft,"Aerial Refueling",154974534,"Lockheed Martin",38,59,"Carrier-capable variant of the F-35 with larger wings, stronger landing gear, and catapult launch capability."
"MQ-4C Triton",162,Aircraft,"Unmanned aerial vehicle",116789142,"Northrop Grumman",45,47,"Aerial refueling tanker and tactical transport aircraft providing support to Navy and Marine Corps fixed and rotary-wing aircraft."
"P-8A Poseidon",163,Aircraft,"Anti-Submarine-warfare aircraft",148865572,"Boeing",13,28,"High-altitude, long-endurance unmanned aircraft system providing real-time intelligence, surveillance, and reconnaissance over vast ocean areas."
"T-6 Texan II",164,Aircraft,"Trainer aircraft",116915059,"Beechcraft",9,62,"Maritime patrol and anti-submarine warfare aircraft based on the Boeing 737-800, replacing the P-3 Orion."
"T-44C Pegasus",165,Aircraft,"Trainer aircraft",46270376,"Beechcraft",9,81,"Single-engine turboprop used for primary flight training of Navy and Marine Corps pilots."
"T-45C Goshawk",166,Aircraft,"Carrier-based Trainer aircraft",10057341,"McDonnell Douglas",40,52,"Twin-engine, pressurized, fixed-wing trainer used for advanced multi-engine training."
"T-54A",167,Aircraft,"Trainer",97464273,"Beechcraft",9,39,"Carrier-capable jet trainer used to prepare Navy and Marine Corps pilots for jet aircraft and carrier operations."
"UC-35D",168,Aircraft,"Utility aircraft",139196004,"Cessna",19,1,"Advanced multi-engine trainer replacing the T-44C, preparing pilots for larger, multi-engine aircraft operations."
"CV/MV-22 Osprey",169,Aircraft,"Multi-mission",95120690,"Bell Boeing",12,23,"Military version of the Cessna Citation business jet used for priority personnel transport and operational support."
"MH-53E Sea Dragon",170,Aircraft,"Airborne mine countermeasures and vertical on-board delivery",25794375,"Sikorsky",54,71,"Tiltrotor aircraft combining helicopter and fixed-wing capabilities for amphibious assault, cargo transport, and special operations."
"MH-60 Seahawk",171,Aircraft,"Anti-submarine warfare helicopterMulti-mission",91269841,"Sikorsky",54,41,"Heavy-lift helicopter specialized for airborne mine countermeasures and vertical onboard delivery to ships."
"TH-57B/C Sea Ranger",172,Aircraft,"Trainer",106665601,"Bell",10,77,"Maritime helicopter designed for anti-submarine warfare, anti-surface warfare, search and rescue, and vertical replenishment."
